current_type_code,recommended_type_code,item_count,role_code,role_zh,canonical_category_zh,current_category_variant_count,current_category_examples,kinds,sources,migration_note
childrens-stools-benche,childrens-stools-bench,5,secondary_seating,輔助座位,兒童凳子與長凳,2,兒童凳子與長凳Children_s stools and benches (4) | 兒童凳與長凳Childrens stools and benches (1),furniture,ikea,標準 type alias；保留 source_type_code 追溯
childrens-table,childrens-table,35,surface,桌面,兒童桌,2,兒童桌Childrens tables (24) | 兒童桌Children_s tables (11),furniture,ikea,
clothes-rack,clothes-rack,26,storage,收納,衣帽架,2,衣帽架Clothes racks (18) | 衣架與鞋架Clothes Racks (8),furniture,ikea,
coffee-table,coffee-table,205,surface,桌面,茶几,4,茶几 (134) | 咖啡桌Coffee tables (43) | 茶几Coffee Tables (26) | 書櫃 (2),furniture,"abo, ikea",
decoration,decoration,321,decor,裝飾,裝飾配件,4,裝飾配件 (292) | 喇叭Speakers (19) | 裝飾Decoration (7) | 裝飾品Decoration (3),"appliance, furniture","abo, ikea, sf",
desk,desk,662,surface,桌面,書桌,3,書桌 (536) | 書桌與電腦桌Desks (89) | 書桌Desks (37),furniture,"abo, ikea",
dining-chair,dining-chair,420,secondary_seating,輔助座位,餐椅,3,餐椅 (308) | 餐椅Dining Chairs (68) | 餐椅Dining chairs (44),furniture,"abo, ikea",
dining-table,dining-table,137,surface,桌面,餐桌,4,餐桌 (88) | 餐桌Dining tables (36) | 餐桌Dining Tables (12) | 餐椅 (1),furniture,"abo, ikea",
dishwasher,dishwasher,4,appliance,家電,洗碗機,1,洗碗機Dishwashers (4),appliance,ikea,
display-cabinet,display-cabinet,37,storage,收納,展示櫃,2,展示櫃Display cabinets (20) | 展示櫃Display Cabinets (17),furniture,ikea,
door-mat,door-mat,41,soft_furnishing,軟裝,門墊,2,門墊Door Mats (21) | 門墊Door mats (20),furniture,ikea,
electric-fan,electric-fan,16,appliance,家電,電風扇,1,電風扇 (16),appliance,sf,
extractor-hood,extractor-hood,19,appliance,家電,抽油煙機,1,抽油煙機Extractor hoods (19),appliance,ikea,
fabric-sofa,fabric-sofa,1013,primary_seating,主座位,布沙發,3,布沙發 (876) | 布質沙發Fabric Sofas (84) | 布質沙發Fabric sofas (53),furniture,"abo, ikea",
floor-lamp,floor-lamp,116,lighting,照明,落地燈,6,落地燈 (77) | 落地燈Floor lamps (26) | 落地燈Floor Lamps (7) | 書桌 (4) | 書櫃 (1) | 茶几Coffee Tables (1),furniture,"abo, ikea",
flower-pots-planter,planter,84,decor,裝飾,盆栽植器,2,花盆與花器Flower Pots Planters (53) | 花盆與植栽盆Flower pots and planters (31),furniture,ikea,標準 type alias；保留 source_type_code 追溯
fridge-freezer,fridge-freezer,25,appliance,家電,冰箱與冷凍櫃,1,冰箱與冷凍櫃Fridges and freezers (25),appliance,ikea,
gaming-chair,gaming-chair,12,secondary_seating,輔助座位,電競椅,2,電競椅Gaming chairs (7) | 電競椅Gaming Chairs (5),furniture,ikea,
hair-dryer,hair-dryer,11,appliance,家電,吹風機,1,吹風機 (11),appliance,sf,
handmade-rug,handmade-rug,30,soft_furnishing,軟裝,手工地毯,2,手工地毯Handmade rugs (27) | 手工地毯Handmade Rugs (3),furniture,ikea,
kids-chairs-stool,kids-chairs-stools,41,secondary_seating,輔助座位,兒童椅與凳子,2,兒童椅與凳子Kids Chairs Stools (21) | 兒童椅與凳子Kids_ chairs and stools (20),furniture,ikea,標準 type alias；保留 source_type_code 追溯
lamp,lamp,276,lighting,照明,燈具,7,燈具 (256) | 喇叭Speakers (7) | 燈具Lamps (5) | 書桌 (4) | 中大型地毯 (2) | 床Beds (1) | 扶手椅Armchairs (1),"appliance, furniture","abo, ikea",同一 source type 有多個標準 type；需依 item 內容判斷
lamp,planter,2,decor,裝飾,盆栽植器,1,燈具 (2),furniture,abo,同一 source type 有多個標準 type；需依 item 內容判斷
lamp-shades-base,lamp-shades-base,48,lighting,照明,燈罩與燈座,2,燈罩、燈座與電線Lamp Shades Bases (30) | 燈罩與燈座Lamp shades and bases (18),furniture,ikea,
large-medium-rug,large-medium-rug,725,soft_furnishing,軟裝,大型與中型地毯,3,中大型地毯 (669) | 大型與中型地毯Large and medium rugs (42) | 大型與中型地毯Large Medium Rugs (14),furniture,"abo, ikea",
large-mirror,large-mirror,31,decor,裝飾,大型鏡子,2,大型鏡子Large mirrors (24) | 大型鏡子Large Mirrors (7),furniture,ikea,
leather-sofa,leather-sofa,215,primary_seating,主座位,皮沙發,3,皮沙發 (136) | 皮革沙發Leather sofas (42) | 皮革沙發Leather Sofas (37),furniture,"abo, ikea",
mattress,mattress,17,sleeping,睡眠,床墊,1,床墊Mattresses (17),furniture,ikea,
mirror,mirror,66,decor,裝飾,鏡子,12,鏡子 (36) | 鏡子Mirrors (12) | 凳子／長凳 (6) | 床架 (2) | 書櫃 (2) | 裝飾配件 (2) | 床 (1) | 戶外家具 (1),furniture,"abo, ikea",
mirror-cabinet,mirror-cabinet,24,storage,收納,鏡櫃,2,鏡櫃Mirror Cabinets (20) | 鏡櫃Mirror cabinets (4),furniture,ikea,
modular-sofa,modular-sofa,61,primary_seating,主座位,模組沙發,5,模組沙發Modular sofas (29) | 模組沙發Modular Sofas (27) | 電競椅Gaming Chairs (3) | 茶几Coffee Tables (1) | 餐桌Dining Tables (1),furniture,ikea,
office-chair,office-chair,177,secondary_seating,輔助座位,辦公椅,4,辦公椅 (84) | 辦公椅Office Chairs (50) | 辦公椅Office chairs (42) | 桌子Tables (1),furniture,"abo, ikea",
outdoor-coffee-side-table,outdoor-coffee-side-table,14,surface,桌面,戶外茶几與邊桌,2,戶外咖啡桌與邊桌Outdoor coffee and side tables (11) | 戶外茶几與邊桌Outdoor Coffee Side Tables (3),furniture,ikea,
outdoor-dining,outdoor-dining,49,outdoor,戶外,戶外餐桌椅,2,戶外餐桌椅Outdoor Dining (28) | 戶外餐桌椅Outdoor dining (21),furniture,ikea,
outdoor-furniture,outdoor-furniture,87,outdoor,戶外,戶外家具,3,戶外家具 (78) | 戶外傢俱Outdoor Furniture (6) | 戶外家具Outdoor furniture (3),furniture,"abo, ikea",
outdoor-rug,outdoor-rug,1,soft_furnishing,軟裝,戶外地毯,1,戶外地毯Outdoor rugs (1),furniture,ikea,
outdoor-seating,outdoor-seating,39,outdoor,戶外,戶外座椅,2,戶外座椅Outdoor Seating (25) | 戶外座椅Outdoor seating (14),furniture,ikea,
oven,oven,8,appliance,家電,烤箱與微波爐,2,微波爐Microwave ovens (6) | 烤箱Ovens and combi-ovens (2),appliance,ikea,
pax-wardrobe,pax-wardrobe,75,storage,收納,PAX 衣櫃,1,PAX 衣櫃PAX wardrobes (75),furniture,ikea,
pendant-lamp,pendant-lamp,2,lighting,照明,吊燈,2,布質沙發Fabric Sofas (1) | 桌子Tables (1),furniture,ikea,
pillow-cushion,pillow-cushion,252,soft_furnishing,軟裝,抱枕靠墊,1,抱枕靠墊 (252),furniture,abo,
planter,planter,164,decor,裝飾,盆栽植器,1,盆栽植器 (164),furniture,abo,
robot-vacuum,robot-vacuum,2,appliance,家電,掃地機器人,1,掃地機器人 (2),appliance,sf,
room-divider,room-divider,38,storage,收納,屏風與隔間,3,隔間屏風Room dividers (17) | 屏風與隔間Room Dividers (14) | 空間隔屏 (7),furniture,"abo, ikea",
round-rug,round-rug,4,soft_furnishing,軟裝,圓形地毯,2,圓形地毯Round Rugs (2) | 圓形地毯Round rugs (2),furniture,ikea,
rug,rug,164,soft_furnishing,軟裝,地毯,10,地毯 (92) | 戶外家具 (34) | 燈具 (20) | 地毯Rugs (12) | 床Beds (1) | 扶手椅Armchairs (1) | 收納傢俱Storage Furniture (1) | 櫃子與櫥櫃Cabinets Cupboards (1),furniture,"abo, ikea",
runner-small-rug,runner-small-rug,129,soft_furnishing,軟裝,走道地毯與小地毯,3,走道地毯 (83) | 走道地毯與小地毯Runner and small rugs (35) | 走道毯與小地毯Runner Small Rugs (11),furniture,"abo, ikea",
sheepskins-cowhide,sheepskins-cowhides,4,soft_furnishing,軟裝,羊皮與牛皮地毯,2,羊皮與牛皮地毯Sheepskins and cowhides (3) | 羊皮、牛皮與仿毛地毯Sheepskins Cowhides (1),furniture,ikea,標準 type alias；保留 source_type_code 追溯
shelving-unit,shelving-unit,79,storage,收納,層架,3,層架Shelving Units (37) | 層架Shelving units (26) | 層架 (16),furniture,"abo, ikea",
shoe-cabinet,shoe-cabinet,9,storage,收納,鞋櫃,1,鞋櫃Shoe Cabinets (9),furniture,ikea,
sideboard,sideboard,46,storage,收納,餐邊櫃,2,餐邊櫃Sideboards (34) | 邊櫃與餐邊櫃Sideboards (12),furniture,ikea,
small-kitchen-appliance,small-kitchen-appliance,45,appliance,家電,小型廚房電器,3,小型廚房電器 (31) | 爐台Hobs (13) | 小型廚房電器Small kitchen appliances (1),appliance,"ikea, sf",
sofa,sofa,575,primary_seating,主座位,沙發,1,沙發 (575),furniture,abo,
sofa-bed,sofa-bed,90,primary_seating,主座位,沙發床,2,沙發床Sofa Beds (48) | 沙發床Sofa beds (42),furniture,ikea,
standing-mirror,standing-mirror,17,decor,裝飾,立鏡,2,立鏡Standing mirrors (15) | 立鏡Standing Mirrors (2),furniture,ikea,
stool-bench,stool-bench,1393,secondary_seating,輔助座位,凳子與長凳,3,凳子／長凳 (1336) | 凳子與長凳Stools and benches (29) | 凳子與長凳Stools Benches (28),furniture,"abo, ikea",
storage-boxes-basket,storage-boxes-baskets,74,storage,收納,收納盒與籃子,2,收納盒與籃子Storage Boxes Baskets (43) | 收納盒與籃子Storage boxes and baskets (31),furniture,ikea,標準 type alias；保留 source_type_code 追溯
storage-furniture,storage-furniture,20,storage,收納,收納家具,2,收納家具Storage furniture (16) | 收納傢俱Storage Furniture (4),furniture,ikea,
storage-solution-system,storage-solution-system,69,storage,收納,收納系統,2,收納系統Storage Solution Systems (39) | 收納系統Storage solution systems (30),furniture,ikea,
sun-loungers-hammock,sun-loungers-hammock,9,outdoor,戶外,日光躺椅與吊床,2,日光躺椅與吊床Sun loungers and hammocks (8) | 躺椅與吊床Sun Loungers Hammocks (1),furniture,ikea,
table,table,23,surface,桌面,桌子,2,桌子Tables (20) | 桌子與書桌Tables (3),furniture,ikea,
table-lamp,table-lamp,264,lighting,照明,檯燈,9,檯燈 (120) | 書桌 (94) | 桌燈Table lamps (33) | 桌燈Table Lamps (12) | PAX 衣櫃PAX wardrobes (1) | 床Beds (1) | 沙發床Sofa Beds (1) | 電視與影音傢俱TV and media furniture (1),furniture,"abo, ikea",
toaster,toaster,9,appliance,家電,烤麵包機,1,烤麵包機 (9),appliance,sf,
trolley,trolley,83,circulation_support,動線輔助,推車,2,推車Trolleys (44) | 推車 (39),furniture,"abo, ikea",
tv-bench,tv-bench,49,storage,收納,電視櫃,2,電視櫃TV benches (34) | 電視櫃Tv Benches (15),furniture,ikea,
tv-media-furniture,tv-media-furniture,10,storage,收納,電視與影音家具,2,電視與影音家具TV and media furniture (7) | 電視與影音傢俱TV and media furniture (3),furniture,ikea,
vacuum-cleaner,vacuum-cleaner,20,appliance,家電,吸塵器,1,吸塵器 (20),appliance,sf,
vase,vase,27,decor,裝飾,花器,1,花器 (27),furniture,abo,
wall-art,wall-art,157,decor,裝飾,牆面裝飾,1,牆面裝飾 (157),furniture,abo,
wall-lamp,wall-lamp,39,lighting,照明,壁燈,4,裝飾配件 (27) | 戶外家具 (9) | 書桌 (2) | 床架 (1),furniture,abo,
wall-mirror,wall-mirror,156,decor,裝飾,壁鏡,3,壁鏡 (102) | 壁鏡Wall mirrors (30) | 壁鏡Wall Mirrors (24),furniture,"abo, ikea",
wall-shelf,wall-shelf,54,storage,收納,壁架,2,壁架Wall shelves (36) | 壁架Wall Shelves (18),furniture,ikea,
wardrobe,wardrobe,75,storage,收納,衣櫃,7,衣櫃Wardrobes (29) | 開放式衣櫃Open Wardrobes (21) | 床 (16) | 裝飾配件 (4) | 書桌 (3) | 兒童傢俱Childrens furniture (1) | 書櫃 (1),furniture,"abo, ikea",
washing-machine,washing-machine,8,appliance,家電,洗衣機,2,洗衣機 (5) | 洗衣機與乾衣機Washing machines and tumble dryers (3),appliance,"ikea, sf",
work-lamp,work-lamp,24,lighting,照明,工作燈,3,工作燈Work lamps (17) | 工作燈Work Lamps (6) | 桌子Tables (1),furniture,ikea,
